demre_code,weighted_threshold,unique_code,nem_weight,ranking_weight,math_weight,lang_weight,hist_weight,scie_weight,other_wieight,tipoies,region,nombreies,nombrecarrera,jornada,ingreso_directo
11022,638.1,I70S1C157J1V1,10.0,20.0,35.0,20.0,0.0,15.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MEDICINA VETERINARIA,Diurno,0
11083,780.0,I70S1C158J1V1,10.0,20.0,30.0,10.0,0.0,30.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MEDICINA,Diurno,0
11084,646.2,I70S1C159J1V1,10.0,20.0,30.0,10.0,0.0,30.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,NUTRICION Y DIETETICA,Diurno,0
11085,693.8,I70S1C160J1V1,10.0,20.0,30.0,10.0,0.0,30.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,OBSTETRICIA Y PUERICULTURA,Diurno,0
11095,701.55,I70S1C161J1V1,10.0,20.0,20.0,15.0,0.0,35.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,ODONTOLOGIA,Diurno,0
11068,660.75,I70S1C162J1V1,10.0,30.0,15.0,30.0,15.0,0.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,PERIODISMO,Diurno,0
11069,731.15,I70S1C174J1V1,10.0,30.0,20.0,25.0,15.0,15.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,PSICOLOGIA,Diurno,0
11035,605.5,I70S1C175J1V1,10.0,20.0,30.0,10.0,0.0,30.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,QUIMICA,Diurno,0
11038,600.0,I70S1C176J1V1,20.0,20.0,30.0,10.0,0.0,20.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,QUIMICA AMBIENTAL,Diurno,0
11037,669.0,I70S1C177J1V1,10.0,20.0,30.0,10.0,0.0,30.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,QUIMICA Y FARMACIA,Diurno,0
11070,647.3,I70S1C178J1V1,20.0,20.0,20.0,25.0,15.0,0.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,SOCIOLOGIA,Diurno,0
11086,700.6,I70S1C180J1V1,10.0,20.0,30.0,10.0,0.0,30.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,TECNOLOGIA MEDICA,Diurno,0
11087,631.3,I70S1C181J1V1,10.0,20.0,30.0,10.0,0.0,30.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,TERAPIA OCUPACIONAL,Diurno,0
0,0.0,I70S1C183J1V1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,"LICENCIATURA EN CIENCIAS CON MENCION EN ASTRONOMIA, GEOFISICA O FISICA",Diurno,1
