unique_code,tipoies,region,nombreies,nombrecarrera
I70S1C157J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MEDICINA VETERINARIA
I70S1C158J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MEDICINA
I70S1C159J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,NUTRICION Y DIETETICA
I70S1C160J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,OBSTETRICIA Y PUERICULTURA
I70S1C161J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,ODONTOLOGIA
I70S1C162J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,PERIODISMO
I70S1C174J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,PSICOLOGIA
I70S1C175J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,QUIMICA
I70S1C176J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,QUIMICA AMBIENTAL
I70S1C177J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,QUIMICA Y FARMACIA
I70S1C178J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,SOCIOLOGIA
I70S1C180J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,TECNOLOGIA MEDICA
I70S1C181J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,TERAPIA OCUPACIONAL
I70S1C182J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,EDUCACION PARVULARIA Y BASICA INICIAL
I70S1C183J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,"LICENCIATURA EN CIENCIAS CON MENCION EN ASTRONOMIA, GEOFISICA O FISICA"
I70S1C184J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,PROGRAMA ACADEMICO DE BACHILLERATO
I70S1C185J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,PEDAGOGIA EN EDUCACION MEDIA EN ASIGNATURAS CIENTIFICO-HUMANISTAS
I70S1C1J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,ADMINISTRACION PUBLICA
I70S1C1J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,ADMINISTRACION PUBLICA
I70S1C21J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DERECHO
I70S1C23J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DISEÑO
I70S1C2J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,ANTROPOLOGIA-ARQUEOLOGIA
I70S1C3J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,ARQUITECTURA
I70S1C3J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,ARQUITECTURA
I70S1C406J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN FILOSOFIA CON MENCION EN FILOSOFIA MORAL Y POLITICA
I70S1C411J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN HISTORIA CON MENCION EN HISTORIA DE CHILE
I70S1C41J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,ENFERMERIA
I70S1C420J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN ESTUDIOS DE GENERO Y CULTURA CON MENCION EN HUMANIDADES
I70S1C421J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN ESTUDIOS DE GENERO Y CULTURA CON MENCION EN CIENCIAS SOCIALES
I70S1C42J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,FONOAUDIOLOGIA
I70S1C43J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,GEOGRAFIA
I70S1C442J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,PEDAGOGIA EN EDUCACION MEDIA EN MATEMATICAS Y FISICA
I70S1C44J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,GEOLOGIA
I70S1C44J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,GEOLOGIA
I70S1C455J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,CINE Y TELEVISION
I70S1C45J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA FORESTAL
I70S1C46J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA EN INFORMACION Y CONTROL DE GESTION Y/O CONTADOR AUDITOR
I70S1C47J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA AGRONOMICA
I70S1C48J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL
I70S1C48J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL
I70S1C49J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL ELECTRICA
I70S1C49J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL ELECTRICA
I70S1C500J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN CIENCIAS CON MENCION EN MICROBIOLOGIA
I70S1C501J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN CIENCIAS CON MENCION EN ECOLOGIA Y BIOLOGIA EVOLUTIVA
I70S1C502J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN CIENCIAS CON MENCION EN BIOLOGIA MOLECULAR CELULAR Y NEUROCIENCIAS
I70S1C503J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN CIENCIAS MENCION MATEMATICAS
I70S1C504J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN CIENCIAS SILVOAGROPECUARIAS Y VETERINARIAS
I70S1C505J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN NUTRICION Y ALIMENTOS
I70S1C506J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN SISTEMAS DE INGENIERIA
I70S1C507J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN CIENCIAS DE LA INGENIERIA MENCION FLUIDO DINAMICA
I70S1C508J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN CIENCIAS MENCION GEOLOGIA
I70S1C50J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL EN BIOTECNOLOGIA
I70S1C50J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL EN BIOTECNOLOGIA
I70S1C510J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN CIENCIAS DE LA INGENIERIA MENCION MODELACION MATEMATICA
I70S1C511J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN CIENCIAS DE LA INGENIERIA MENCION CIENCIAS DE LOS MATERIALES
I70S1C512J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN CIENCIAS MENCION COMPUTACION
I70S1C513J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN CIENCIAS MENCION ASTRONOMIA
