unique_code,tipoies,region,nombreies,nombrecarrera,modalidad
I70S1C157J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MEDICINA VETERINARIA,Presencial
I70S1C158J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MEDICINA,Presencial
I70S1C159J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,NUTRICION Y DIETETICA,Presencial
I70S1C160J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,OBSTETRICIA Y PUERICULTURA,Presencial
I70S1C161J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,ODONTOLOGIA,Presencial
I70S1C162J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,PERIODISMO,Presencial
I70S1C174J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,PSICOLOGIA,Presencial
I70S1C175J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,QUIMICA,Presencial
I70S1C176J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,QUIMICA AMBIENTAL,Presencial
I70S1C177J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,QUIMICA Y FARMACIA,Presencial
I70S1C178J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,SOCIOLOGIA,Presencial
I70S1C180J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,TECNOLOGIA MEDICA,Presencial
I70S1C181J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,TERAPIA OCUPACIONAL,Presencial
I70S1C183J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,"LICENCIATURA EN CIENCIAS CON MENCION EN ASTRONOMIA, GEOFISICA O FISICA",Presencial
I70S1C184J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,PROGRAMA ACADEMICO DE BACHILLERATO,Presencial
I70S1C185J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,PEDAGOGIA EN EDUCACION MEDIA EN ASIGNATURAS CIENTIFICO-HUMANISTAS,Presencial
I70S1C1J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,ADMINISTRACION PUBLICA,Presencial
I70S1C21J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DERECHO,Presencial
I70S1C23J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DISEÑO,Presencial
I70S1C2J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,ANTROPOLOGIA-ARQUEOLOGIA,Presencial
I70S1C3J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,ARQUITECTURA,Presencial
I70S1C41J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,ENFERMERIA,Presencial
I70S1C42J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,FONOAUDIOLOGIA,Presencial
I70S1C43J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,GEOGRAFIA,Presencial
I70S1C442J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,PEDAGOGIA EN EDUCACION MEDIA EN MATEMATICAS Y FISICA,Presencial
I70S1C44J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,GEOLOGIA,Presencial
I70S1C455J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,CINE Y TELEVISION,Presencial
I70S1C45J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA FORESTAL,Presencial
I70S1C47J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA AGRONOMICA,Presencial
I70S1C48J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL,Presencial
I70S1C49J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL ELECTRICA,Presencial
I70S1C50J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL EN BIOTECNOLOGIA,Presencial
I70S1C51J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL EN COMPUTACION,Presencial
I70S1C53J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL DE MINAS,Presencial
