demre_code,weighted_threshold,unique_code,nem_weight,ranking_weight,math_weight,lang_weight,hist_weight,scie_weight,other_weight,tipoies,region,nombreies,nombrecarrera
11001,657.9,I70S1C3J1V2,10,20,40,20,10,10,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,ARQUITECTURA
11003,641.02,I70S1C68J1V2,10,20,15,30,25,0,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,ACTUACION TEATRAL
11004,601.1,I70S1C70J1V1,10,20,20,25,25,0,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DISEÑO TEATRAL
11005,622.25,I70S1C23J1V1,10,30,25,25,10,10,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DISEÑO
11011,625.65,I70S1C931J1V1,10,20,10,35,25,0,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,LICENCIATURA EN ARTES CON MENCION EN ARTES VISUALES
11016,603.85,I70S1C74J1V1,10,20,10,35,25,0,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,TEORIA E HISTORIA DEL ARTE
11017,646.15,I70S1C73J1V2,10,20,20,25,25,0,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,TEORIA DE LA MUSICA
11020,600.0,I70S1C47J1V1,10,35,25,10,20,20,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA AGRONOMICA
11021,604.95,I70S1C45J1V1,10,35,25,10,20,20,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA FORESTAL
11022,638.1,I70S1C157J1V1,10,20,35,20,0,15,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MEDICINA VETERINARIA
11024,632.7,I70S1C63J1V1,10,35,25,10,20,20,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA EN RECURSOS NATURALES RENOVABLES
