COU,Country,POLL,Pollutant,VAR,Year,Unit,PowerCode,Value
AUS,Australia,GHG,Greenhouse gases,TOTAL,1990,Tonnes of CO2 equivalent,Thousands,425624.307
AUS,Australia,GHG,Greenhouse gases,TOTAL,1991,Tonnes of CO2 equivalent,Thousands,425686.445
AUS,Australia,GHG,Greenhouse gases,TOTAL,1992,Tonnes of CO2 equivalent,Thousands,429473.085
AUS,Australia,GHG,Greenhouse gases,TOTAL,1993,Tonnes of CO2 equivalent,Thousands,430381.731
AUS,Australia,GHG,Greenhouse gases,TOTAL,1994,Tonnes of CO2 equivalent,Thousands,430848.498
AUS,Australia,GHG,Greenhouse gases,TOTAL,1995,Tonnes of CO2 equivalent,Thousands,439269.878
AUS,Australia,GHG,Greenhouse gases,TOTAL,1996,Tonnes of CO2 equivalent,Thousands,445847.225
AUS,Australia,GHG,Greenhouse gases,TOTAL,1997,Tonnes of CO2 equivalent,Thousands,457864.51
AUS,Australia,GHG,Greenhouse gases,TOTAL,1998,Tonnes of CO2 equivalent,Thousands,472145.832
AUS,Australia,GHG,Greenhouse gases,TOTAL,1999,Tonnes of CO2 equivalent,Thousands,478136.875
AUS,Australia,GHG,Greenhouse gases,TOTAL,2000,Tonnes of CO2 equivalent,Thousands,489528.649
AUS,Australia,GHG,Greenhouse gases,TOTAL,2001,Tonnes of CO2 equivalent,Thousands,497352.025
AUS,Australia,GHG,Greenhouse gases,TOTAL,2002,Tonnes of CO2 equivalent,Thousands,501000.843
AUS,Australia,GHG,Greenhouse gases,TOTAL,2003,Tonnes of CO2 equivalent,Thousands,501128.976
AUS,Australia,GHG,Greenhouse gases,TOTAL,2004,Tonnes of CO2 equivalent,Thousands,518408.438
AUS,Australia,GHG,Greenhouse gases,TOTAL,2005,Tonnes of CO2 equivalent,Thousands,524811.845
AUS,Australia,GHG,Greenhouse gases,TOTAL,2006,Tonnes of CO2 equivalent,Thousands,529240.641
AUS,Australia,GHG,Greenhouse gases,TOTAL,2007,Tonnes of CO2 equivalent,Thousands,535807.552
AUS,Australia,GHG,Greenhouse gases,TOTAL,2008,Tonnes of CO2 equivalent,Thousands,538590.714
AUS,Australia,GHG,Greenhouse gases,TOTAL,2009,Tonnes of CO2 equivalent,Thousands,541475.792
AUS,Australia,GHG,Greenhouse gases,TOTAL,2010,Tonnes of CO2 equivalent,Thousands,536893.738
AUS,Australia,GHG,Greenhouse gases,TOTAL,2011,Tonnes of CO2 equivalent,Thousands,538663.878
AUS,Australia,GHG,Greenhouse gases,TOTAL,2012,Tonnes of CO2 equivalent,Thousands,541899.74
