COU,Country,POLL,Pollutant,VAR,Year,Unit,PowerCode,Value
FRA,France,GHG,Greenhouse gases,TOTAL,1990,Tonnes of CO2 equivalent,Thousands,547183.229
FRA,France,GHG,Greenhouse gases,TOTAL,1991,Tonnes of CO2 equivalent,Thousands,574174.334
FRA,France,GHG,Greenhouse gases,TOTAL,1992,Tonnes of CO2 equivalent,Thousands,562058.253
FRA,France,GHG,Greenhouse gases,TOTAL,1993,Tonnes of CO2 equivalent,Thousands,542044.615
FRA,France,GHG,Greenhouse gases,TOTAL,1994,Tonnes of CO2 equivalent,Thousands,534674.42
FRA,France,GHG,Greenhouse gases,TOTAL,1995,Tonnes of CO2 equivalent,Thousands,540195.195
FRA,France,GHG,Greenhouse gases,TOTAL,1996,Tonnes of CO2 equivalent,Thousands,557168.382
FRA,France,GHG,Greenhouse gases,TOTAL,1997,Tonnes of CO2 equivalent,Thousands,549668.411
FRA,France,GHG,Greenhouse gases,TOTAL,1998,Tonnes of CO2 equivalent,Thousands,564256.479
FRA,France,GHG,Greenhouse gases,TOTAL,1999,Tonnes of CO2 equivalent,Thousands,558784.321
FRA,France,GHG,Greenhouse gases,TOTAL,2000,Tonnes of CO2 equivalent,Thousands,553001.736
FRA,France,GHG,Greenhouse gases,TOTAL,2001,Tonnes of CO2 equivalent,Thousands,558358.441
FRA,France,GHG,Greenhouse gases,TOTAL,2002,Tonnes of CO2 equivalent,Thousands,553086.836
FRA,France,GHG,Greenhouse gases,TOTAL,2003,Tonnes of CO2 equivalent,Thousands,556136.307
FRA,France,GHG,Greenhouse gases,TOTAL,2004,Tonnes of CO2 equivalent,Thousands,555107.218
FRA,France,GHG,Greenhouse gases,TOTAL,2005,Tonnes of CO2 equivalent,Thousands,556120.549
FRA,France,GHG,Greenhouse gases,TOTAL,2006,Tonnes of CO2 equivalent,Thousands,545587.444
FRA,France,GHG,Greenhouse gases,TOTAL,2007,Tonnes of CO2 equivalent,Thousands,536374.997
FRA,France,GHG,Greenhouse gases,TOTAL,2008,Tonnes of CO2 equivalent,Thousands,530722.796
FRA,France,GHG,Greenhouse gases,TOTAL,2009,Tonnes of CO2 equivalent,Thousands,508213.897
FRA,France,GHG,Greenhouse gases,TOTAL,2010,Tonnes of CO2 equivalent,Thousands,512753.492
FRA,France,GHG,Greenhouse gases,TOTAL,2011,Tonnes of CO2 equivalent,Thousands,488753.45
FRA,France,GHG,Greenhouse gases,TOTAL,2012,Tonnes of CO2 equivalent,Thousands,490256.229
FRA,France,GHG,Greenhouse gases,TOTAL,2013,Tonnes of CO2 equivalent,Thousands,491335.786
FRA,France,GHG,Greenhouse gases,TOTAL,2014,Tonnes of CO2 equivalent,Thousands,461189.49
FRA,France,GHG,Greenhouse gases,TOTAL,2015,Tonnes of CO2 equivalent,Thousands,464491.268
FRA,France,GHG,Greenhouse gases,TOTAL,2016,Tonnes of CO2 equivalent,Thousands,466376.978
FRA,France,GHG,Greenhouse gases,TOTAL,2017,Tonnes of CO2 equivalent,Thousands,469718.625
FRA,France,GHG,Greenhouse gases,TOTAL,2018,Tonnes of CO2 equivalent,Thousands,450787.078
FRA,France,GHG,Greenhouse gases,TOTAL,2019,Tonnes of CO2 equivalent,Thousands,441488.013
DEU,Germany,GHG,Greenhouse gases,TOTAL,1990,Tonnes of CO2 equivalent,Thousands,1241919.234
DEU,Germany,GHG,Greenhouse gases,TOTAL,1991,Tonnes of CO2 equivalent,Thousands,1195966.138
DEU,Germany,GHG,Greenhouse gases,TOTAL,1992,Tonnes of CO2 equivalent,Thousands,1146454.342
DEU,Germany,GHG,Greenhouse gases,TOTAL,1993,Tonnes of CO2 equivalent,Thousands,1137451.367
DEU,Germany,GHG,Greenhouse gases,TOTAL,1994,Tonnes of CO2 equivalent,Thousands,1119681.968
DEU,Germany,GHG,Greenhouse gases,TOTAL,1995,Tonnes of CO2 equivalent,Thousands,1115305.357
DEU,Germany,GHG,Greenhouse gases,TOTAL,1996,Tonnes of CO2 equivalent,Thousands,1133362.884
DEU,Germany,GHG,Greenhouse gases,TOTAL,1997,Tonnes of CO2 equivalent,Thousands,1098413.401
DEU,Germany,GHG,Greenhouse gases,TOTAL,1998,Tonnes of CO2 equivalent,Thousands,1073178.323
DEU,Germany,GHG,Greenhouse gases,TOTAL,1999,Tonnes of CO2 equivalent,Thousands,1039200.172
DEU,Germany,GHG,Greenhouse gases,TOTAL,2000,Tonnes of CO2 equivalent,Thousands,1036926.261
DEU,Germany,GHG,Greenhouse gases,TOTAL,2001,Tonnes of CO2 equivalent,Thousands,1052999.477
DEU,Germany,GHG,Greenhouse gases,TOTAL,2002,Tonnes of CO2 equivalent,Thousands,1031672.509
DEU,Germany,GHG,Greenhouse gases,TOTAL,2003,Tonnes of CO2 equivalent,Thousands,1028625.772
DEU,Germany,GHG,Greenhouse gases,TOTAL,2004,Tonnes of CO2 equivalent,Thousands,1011768.83
DEU,Germany,GHG,Greenhouse gases,TOTAL,2005,Tonnes of CO2 equivalent,Thousands,986709.485
DEU,Germany,GHG,Greenhouse gases,TOTAL,2006,Tonnes of CO2 equivalent,Thousands,993738.732
DEU,Germany,GHG,Greenhouse gases,TOTAL,2007,Tonnes of CO2 equivalent,Thousands,968039.597
DEU,Germany,GHG,Greenhouse gases,TOTAL,2008,Tonnes of CO2 equivalent,Thousands,968935.03
DEU,Germany,GHG,Greenhouse gases,TOTAL,2009,Tonnes of CO2 equivalent,Thousands,902742.06
DEU,Germany,GHG,Greenhouse gases,TOTAL,2010,Tonnes of CO2 equivalent,Thousands,935768.364
DEU,Germany,GHG,Greenhouse gases,TOTAL,2011,Tonnes of CO2 equivalent,Thousands,911243.774
DEU,Germany,GHG,Greenhouse gases,TOTAL,2012,Tonnes of CO2 equivalent,Thousands,916901.017
