COU,Country,POLL,Pollutant,VAR,Year,Unit,PowerCode,Value
USA,United States,GHG,Greenhouse gases,TOTAL,1990,Tonnes of CO2 equivalent,Thousands,6453450.223
USA,United States,GHG,Greenhouse gases,TOTAL,1991,Tonnes of CO2 equivalent,Thousands,6382938.922
USA,United States,GHG,Greenhouse gases,TOTAL,1992,Tonnes of CO2 equivalent,Thousands,6497290.079
USA,United States,GHG,Greenhouse gases,TOTAL,1993,Tonnes of CO2 equivalent,Thousands,6613395.75
USA,United States,GHG,Greenhouse gases,TOTAL,1994,Tonnes of CO2 equivalent,Thousands,6700778.176
USA,United States,GHG,Greenhouse gases,TOTAL,1995,Tonnes of CO2 equivalent,Thousands,6785363.614
USA,United States,GHG,Greenhouse gases,TOTAL,1996,Tonnes of CO2 equivalent,Thousands,6990925.58
USA,United States,GHG,Greenhouse gases,TOTAL,1997,Tonnes of CO2 equivalent,Thousands,7046213.088
USA,United States,GHG,Greenhouse gases,TOTAL,1998,Tonnes of CO2 equivalent,Thousands,7094833.389
USA,United States,GHG,Greenhouse gases,TOTAL,1999,Tonnes of CO2 equivalent,Thousands,7138140.713
USA,United States,GHG,Greenhouse gases,TOTAL,2000,Tonnes of CO2 equivalent,Thousands,7327593.209
USA,United States,GHG,Greenhouse gases,TOTAL,2001,Tonnes of CO2 equivalent,Thousands,7219162.974
USA,United States,GHG,Greenhouse gases,TOTAL,2002,Tonnes of CO2 equivalent,Thousands,7259157.149
USA,United States,GHG,Greenhouse gases,TOTAL,2003,Tonnes of CO2 equivalent,Thousands,7313828.082
USA,United States,GHG,Greenhouse gases,TOTAL,2004,Tonnes of CO2 equivalent,Thousands,7428447.644
USA,United States,GHG,Greenhouse gases,TOTAL,2005,Tonnes of CO2 equivalent,Thousands,7434827.939
USA,United States,GHG,Greenhouse gases,TOTAL,2006,Tonnes of CO2 equivalent,Thousands,7360801.267
USA,United States,GHG,Greenhouse gases,TOTAL,2007,Tonnes of CO2 equivalent,Thousands,7463786.407
USA,United States,GHG,Greenhouse gases,TOTAL,2008,Tonnes of CO2 equivalent,Thousands,7240643.548
USA,United States,GHG,Greenhouse gases,TOTAL,2009,Tonnes of CO2 equivalent,Thousands,6787264.726
USA,United States,GHG,Greenhouse gases,TOTAL,2010,Tonnes of CO2 equivalent,Thousands,7007442.261
USA,United States,GHG,Greenhouse gases,TOTAL,2011,Tonnes of CO2 equivalent,Thousands,6845087.119
USA,United States,GHG,Greenhouse gases,TOTAL,2012,Tonnes of CO2 equivalent,Thousands,6606523.764
USA,United States,GHG,Greenhouse gases,TOTAL,2013,Tonnes of CO2 equivalent,Thousands,6784494.217
USA,United States,GHG,Greenhouse gases,TOTAL,2014,Tonnes of CO2 equivalent,Thousands,6843355.822
USA,United States,GHG,Greenhouse gases,TOTAL,2015,Tonnes of CO2 equivalent,Thousands,6689006.127
USA,United States,GHG,Greenhouse gases,TOTAL,2016,Tonnes of CO2 equivalent,Thousands,6537871.032
USA,United States,GHG,Greenhouse gases,TOTAL,2017,Tonnes of CO2 equivalent,Thousands,6500975.386
USA,United States,GHG,Greenhouse gases,TOTAL,2018,Tonnes of CO2 equivalent,Thousands,6687512.573
USA,United States,GHG,Greenhouse gases,TOTAL,2019,Tonnes of CO2 equivalent,Thousands,6571725.746
